,sound,condition,response,predictability,sentences,response_words,sentence_words,word_count
29,n-1,b,mary could not have discussed the tac,(H),a rose bush has prickly thorns.,"['mary', 'could', 'not', 'have', 'discussed', 'the', 'tac']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
28,n-1,b,the bomb exploded in a blast.,(H),a rose bush has prickly thorns.,"['the', 'bomb', 'exploded', 'in', 'a', 'blast', '.']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",2
21,n-1,a,the words can't...,(H),a rose bush has prickly thorns.,"['the', 'words', 'ca', 'not', None]","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
22,n-1,a,the road,(H),a rose bush has prickly thorns.,"['the', 'road']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
23,n-1,a,a rose bush has prickly thorns,(H),a rose bush has prickly thorns.,"['a', 'rose', 'bush', 'has', 'prickly', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",6
20,n-1,a,the roses bushes quickly thorns,(H),a rose bush has prickly thorns.,"['the', 'roses', 'bushes', 'quickly', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",1
25,n-1,b,the bomb exploded with a blast,(H),a rose bush has prickly thorns.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",1
26,n-1,b,,(H),a rose bush has prickly thorns.,[],"['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
27,n-1,b,mary could not discuss the tag,(H),a rose bush has prickly thorns.,"['mary', 'could', 'not', 'discuss', 'the', 'tag']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
24,n-1,a,a real special prickley thornes,(H),a rose bush has prickly thorns.,"['a', 'real', 'special', 'prickly', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",3
278,n-17,b,roof hopes he heard about the hips,(H),the bomb exploded with a blast.,"['roof', 'hopes', 'he', 'heard', 'about', 'the', 'hips']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
270,n-17,a,the bomb exploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
271,n-17,a,the bomb exploded with a blast.,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",7
272,n-17,a,the bomb exploded the burst.,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'the', 'burst', '.']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",5
273,n-17,a,the bomb exploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
274,n-17,a,the bomb eksploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
275,n-17,b,anne was interested with the breath,(H),the bomb exploded with a blast.,"['anne', 'was', 'interested', 'with', 'the', 'breath']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",2
277,n-17,b,they marched to the beat of the drum,(H),the bomb exploded with a blast.,"['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",2
279,n-17,b,this nosel sprays a fine mist,(H),the bomb exploded with a blast.,"['this', 'nose', 'sprays', 'a', 'fine', 'mist']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
276,n-17,b,the bomb explored with blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'explored', 'with', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",4
127,n-18,b,ann was interested in the breath,(L),mary could not discuss the tack.,"['ann', 'was', 'interested', 'in', 'the', 'breath']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",1
126,n-18,b,marry could not discuss the tax,(L),mary could not discuss the tack.,"['marry', 'could', 'not', 'discuss', 'the', 'tax']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",4
125,n-18,b,the rose bush has prickly thorns,(L),mary could not discuss the tack.,"['the', 'rose', 'bush', 'has', 'prickly', 'thorns']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",1
