,sound,condition,response
2,n-1,a,the roses bushes quickly thorns
3,n-2,a,we should have considered the juice
5,n-28,a,tom will disucss this one
6,n-20,a,nancy had concidered the sleeves
7,n-22,a,the farmer harvested his crop
10,n-26,a,the old man thinks about the mask
11,n-32,a,Tom is talking about the fee
12,n-18,a,mary could not discuss the tax
16,n-23,a,bill heard tom call about the coach
17,n-21,a,....the bike that grease
19,n-29,a,I was interested in the breath
20,n-27,a,the sailor swapped the deck
21,n-25,a,noone was injured in the crash
23,n-19,a,they have a problem with the lint
24,n-30,a,this nozzel sprays a fine mist
27,n-17,a,the bomb exploded with a blast
31,n-24,a,they marched to the beat of the drum
34,n-31,a,roof hopes he heard about the hips??
38,n-1,a,The words can't...
39,n-2,a,We should have considered to choose.
56,n-17,a,The bomb exploded with a blast.
57,n-18,a,Mary could not discuss attack
58,n-19,a,They have a problem with the limb.
59,n-20,a,Nancy could consider the sweeps.
60,n-21,a,You retrieve the bike with grace.
61,n-22,a,The farmer harvested his crop.
62,n-23,a,Bill have told about the coach.
63,n-24,a,They marched to the beet at the trunk.......
64,n-25,a,No one was injured in the crush.
65,n-26,a,The old man thinks about the last.
66,n-27,a,The status on the eck.
67,n-28,a,Tom will discuss the wamp.
68,n-29,a,I was interested in the bread.
69,n-30,a,This nasal spray if I miss.
70,n-31,a,Ruth sould have known about the hips.
71,n-32,a,Thomas is talking about the fee.
74,n-1,a,The road
75,n-2,a,We should consider the juice.
92,n-17,a,The bomb exploded the burst.
93,n-18,a,Mary could not discuss the tag.
94,n-19,a,They have a problem with a rince.
95,n-20,a,Nancy had considered the series.
96,n-21,a,Bards broke the bike with greece.
97,n-22,a,The farmer harvested his crop.
98,n-23,a,Bill had conclude about the coach.
99,n-24,a,They marched to beat the dram.
100,n-25,a,No one would        crush
101,n-26,a,The old man thinks about the most.
102,n-27,a,The sales   got the duck.
103,n-28,a,Tom was discussed the swarm.
104,n-29,a,I was interested in the bless.
105,n-30,a,This         fine mist.
106,n-31,a,           heard about the hint. 
107,n-32,a,Tom is talking about the fee.
108,n-2,a,we should have considered the juice
111,n-1,a,a rose bush has prickly thorns
112,n-21,a,lubricate the bike with grease
114,n-23,a,Bill heard Thom called about the coach
119,n-32,a,Thom is talking about the fee
121,n-24,a,They marched to the beat of the drum
122,n-25,a,no one was injured in the crash
123,n-22,a,the farmer harvested his crop
125,n-19,a,They have a problem with the limbs
131,n-30,a,this nozzle sprays a fine mist
133,n-28,a,thom will discuss this one
134,n-18,a,mary could not discuss the tech
135,n-20,a,nancy had considered the sleeves
136,n-17,a,the bomb exploded with a blast
137,n-26,a,the old man thinks about the masked
138,n-27,a,the sailor scrubbed the deck
140,n-31,a,ruth hooks she heard about the hips
141,n-29,a,anne was interested in the breath
145,n-1,a,A real special prickley thornes
147,n-2,a,we should have considered the juice
148,n-21,a,caked the bike with grease
151,n-30,a,this nozzle sprays a fine mist
153,n-24,a,they marched to the beat of a drum
154,n-19,a,they have a problem with a limb
155,n-31,a,ruth hoped he heard about the hibs
156,n-27,a,the sailors swapped the deck
158,n-28,a,tom will discuss this one
165,n-25,a,no one was inured in the crash
166,n-26,a,the old man thinks about the mask
167,n-17,a,the bomb eksploded with a blast
168,n-18,a,marry could not discuss the tag
171,n-23,a,will heard tom call about the coach
172,n-29,a,an was in..... in the breath
173,n-32,a,tom is talking about the fee
176,n-22,a,the farmer harvested his crops
179,n-20,a,nancy had considered the sleeves
